id,center,color,x,y,geo
way/407515575,"-86.689432,41.78357255","41, 46, 60",2112,1280,mi
way/1144190725,"-86.61445095,41.89062305","62, 72, 112",1024,128,mi
way/1240619088,"-86.579668,41.8160494","57, 78, 102",640,1472,mi
way/281371880,"-86.48973565,41.95696135","125, 125, 117",1280,1792,mi
way/264541350,"-86.50424459999999,42.0170087","162, 162, 156",1792,1472,mi
way/322015553,"-86.4730448,42.0548041","68, 68, 67",704,1920,mi
way/331013014,"-86.4644435,42.08289805","102, 101, 97",1984,512,mi
way/1082746763,"-86.48517515,42.1138423","87, 86, 81",896,576,mi
way/1088795200,"-86.4790043,42.10091485","153, 155, 147",256,896,mi
way/1238914497,"-86.4586104,42.10382855","116, 126, 137",384,1472,mi
way/1187889192,"-86.44395485,42.0660808","63, 67, 67",1152,768,mi
way/1178595489,"-86.4517425,42.10029675","122, 120, 109",384,1088,mi
way/1178805831,"-86.4394591,42.095521399999996","84, 85, 82",448,1088,mi
way/1019087820,"-86.359683,41.833694550000004","84, 85, 78",448,128,mi
way/1019087821,"-86.3549662,41.83623825","98, 99, 92",448,192,mi
way/802577786,"-86.3357938,41.826002450000004","103, 103, 94",2624,896,mi
way/584423909,"-86.24898505,41.825400450000004","124, 124, 113",2368,1216,mi
way/1097006857,"-86.24931955,41.83301375","151, 151, 137",768,896,mi
way/460431864,"-86.25800455,41.8402995","91, 91, 90",2176,1728,mi
way/584423911,"-86.241004,41.81979495","94, 95, 92",2368,1280,mi
way/259968748,"-86.2390145,41.831320649999995","114, 118, 126",1728,1664,mi
way/308523099,"-86.35345995,41.9567976","142, 142, 130",1920,704,mi
way/1183936270,"-86.33512354999999,41.95199785","146, 148, 136",960,1088,mi
way/1185196441,"-86.09964865,41.796033","63, 62, 119",1152,256,mi
way/995933843,"-86.01205475,41.91767935","81, 84, 79",2816,2816,mi
way/1097371777,"-85.9163719,41.9170254","155, 154, 141",896,896,mi
way/530367813,"-85.74482395,41.9379692","63, 70, 79",2304,1024,mi
way/530367814,"-85.74205524999999,41.9374663","36, 56, 61",2304,1088,mi
way/242743122,"-85.7137827,41.93010030000001","124, 119, 116",1472,1664,mi
way/203841841,"-85.64269185,41.9404043","153, 149, 146",1664,768,mi
way/203049598,"-85.63654285000001,41.9457094","167, 155, 149",1664,704,mi
way/1144089782,"-86.36175345000001,41.96649705","92, 91, 85",1024,64,mi
way/614153055,"-86.3498793,41.9605439","112, 131, 154",2432,192,mi
way/1219814791,"-86.12147635,41.97466945","82, 75, 67",1408,0,mi
way/1219801121,"-86.10376529999999,41.9889177","141, 140, 130",1344,1344,mi
way/407506763,"-86.09703495,41.9897349","56, 48, 45",2112,1216,mi
way/290222164,"-86.0080071,42.1094551","103, 111, 133",512,1856,mi
way/816734321,"-86.00839325,42.11224155","114, 130, 152",2624,2176,mi
way/816734333,"-86.00588010000001,42.110580299999995","117, 138, 179",2624,2240,mi
way/1172751771,"-86.31166955,42.18214515","136, 135, 122",1088,1024,mi
way/1172753103,"-86.30830935,42.18187735","135, 136, 127",0,1088,mi
way/1267665483,"-86.23992515,42.20287785","57, 64, 90",1088,1536,mi
way/321552292,"-86.1628731,42.2107322","99, 110, 118",384,1920,mi
way/1194003026,"-86.04922445,42.21993745","56, 59, 60",1216,576,mi
way/1184025954,"-86.11288665000001,42.30529355","161, 167, 157",1088,1088,mi
way/1183978066,"-86.07212430000001,42.34483535","102, 99, 88",1024,1088,mi
way/991749187,"-85.6301132,42.119060149999996","124, 116, 121",2112,2816,mi
way/974167015,"-85.6233048,42.147439250000005","93, 100, 102",2816,1984,mi
way/292978695,"-85.8412261,42.169891500000006","159, 156, 139",1152,1856,mi
way/1237844947,"-85.849204,42.212811099999996","115, 111, 136",0,1472,mi
way/1184253282,"-85.87777395,42.36023745","141, 134, 138",1152,64,mi
way/1195039985,"-85.70467145,42.19775235","112, 116, 124",1216,768,mi
way/1144243979,"-85.68531275,42.22566325","142, 145, 150",1024,384,mi
way/261628116,"-85.68014405,42.2569003","179, 165, 154",832,1728,mi
way/258180906,"-85.6812352,42.2687473","187, 181, 169",1728,64,mi
way/259119796,"-85.64634045,42.20483405","148, 124, 133",1728,1088,mi
way/875539721,"-85.64570954999999,42.219902000000005","199, 185, 170",2688,1472,mi
way/258716136,"-85.62587395,42.2097711","194, 176, 161",1728,576,mi
way/258714683,"-85.6221867,42.2205815","192, 179, 170",1728,512,mi
way/992724059,"-85.59112110000001,42.19404485","166, 159, 157",2240,2816,mi
way/989159655,"-85.5657679,42.1716186","88, 86, 98",1792,2816,mi
way/289894315,"-85.61470034999999,42.20769705","207, 207, 203",256,1856,mi
way/258645005,"-85.61236235,42.2112395","122, 120, 133",1728,320,mi
way/258641455,"-85.6047092,42.2108212","196, 185, 175",1728,256,mi
way/258713941,"-85.60851695,42.22042865","116, 119, 132",1728,384,mi
way/258713949,"-85.60937415000001,42.2215149","132, 164, 151",1728,448,mi
way/266746603,"-85.6444943,42.23061705","153, 145, 150",64,1792,mi
way/259753968,"-85.63115245,42.2386012","162, 151, 141",1728,1600,mi
way/266745295,"-85.63109475,42.2371869","217, 207, 191",0,1792,mi
way/1195033430,"-85.65049535,42.25565075","139, 136, 139",1216,704,mi
way/1012149207,"-85.65939180000001,42.2623478","41, 50, 76",192,384,mi
way/261602841,"-85.6455934,42.2727907","143, 158, 173",704,1728,mi
way/258113840,"-85.61765255,42.2684195","196, 186, 173",1728,0,mi
way/1067768737,"-85.6014201,42.2328735","176, 166, 155",832,64,mi
way/1009770246,"-85.5830014,42.2272558","185, 174, 164",64,320,mi
way/1191469305,"-85.56554485000001,42.22328935","192, 192, 192",512,1152,mi
way/258637408,"-85.592534,42.25514735","184, 172, 160",1728,192,mi
way/1238913190,"-85.59627864999999,42.272802049999996","187, 176, 168",320,1472,mi
way/258636043,"-85.5878278,42.25784245","160, 157, 157",1728,128,mi
way/1007668873,"-85.5773604,42.2708692","161, 179, 154",256,256,mi
way/1007673825,"-85.57001969999999,42.2726172","190, 169, 158",320,0,mi
way/986417066,"-85.67843045000001,42.27667725","88, 99, 105",1472,2816,mi
way/259136081,"-85.6731206,42.276732800000005","130, 137, 153",1728,1152,mi
way/631436317,"-85.69347725,42.294246650000005","216, 205, 198",2432,2240,mi
way/264244861,"-85.66657194999999,42.282969300000005","194, 183, 174",1792,1280,mi
way/258855741,"-85.64103215,42.28086365","213, 199, 184",1728,832,mi
way/1144243445,"-85.64000924999999,42.2856387","173, 169, 162",1024,320,mi
way/259109550,"-85.6587555,42.300819849999996","101, 145, 180",1728,1024,mi
way/267038827,"-85.6519869,42.30277005","225, 208, 186",192,1792,mi
way/1005611066,"-85.60699055,42.2782748","171, 162, 155",256,192,mi
way/991717222,"-85.59411209999999,42.274561500000004","198, 187, 178",2048,2816,mi
way/1148908838,"-85.6079915,42.29085619999999","164, 164, 151",1024,896,mi
way/183792100,"-85.59847165,42.2909205","112, 116, 75",1664,0,mi
way/259674503,"-85.57704815,42.282427","191, 186, 180",1728,1472,mi
way/1177638579,"-85.57134575,42.27453895","152, 170, 181",320,1088,mi
way/259733836,"-85.58252375000001,42.29979695","187, 172, 164",1728,1536,mi
way/290277558,"-85.56453024999999,42.291971149999995","171, 171, 172",576,1856,mi
way/987188177,"-85.61239225,42.30362725","194, 184, 181",1600,2816,mi
way/1002687012,"-85.5995732,42.3052869","128, 132, 145",64,64,mi
way/258829159,"-85.59217810000001,42.303155200000006","145, 116, 120",1728,704,mi
way/1037775782,"-85.63295310000001,42.35259255","73, 85, 113",640,128,mi
way/759187907,"-86.27639070000001,42.39291775","88, 85, 60",704,2560,mi
way/288808343,"-86.2767848,42.406633","99, 89, 76",0,1856,mi
way/1238307902,"-86.2610701,42.411734499999994","172, 167, 146",128,1472,mi
way/305084915,"-86.25994215,42.4226936","157, 149, 125",1920,320,mi
way/1173978503,"-86.25838845,42.42424445","148, 139, 120",192,1088,mi
way/261643458,"-86.25187249999999,42.459587150000004","114, 117, 118",896,1728,mi
way/1184233277,"-86.1864789,42.417486600000004","168, 161, 137",1152,0,mi
way/583593891,"-86.1998535,42.64356065","154, 148, 127",2368,832,mi
way/358540858,"-86.20384949999999,42.6572537","52, 52, 52",512,1984,mi
way/314424860,"-86.1053067,42.59807645","100, 103, 93",1920,1280,mi
way/1256606679,"-86.10755510000001,42.596299900000005","77, 77, 78",1536,128,mi
way/1230402827,"-86.02167205,42.6841","115, 122, 118",1472,256,mi
way/1230390249,"-86.00351875,42.67320075","49, 53, 75",1472,192,mi
way/1216582521,"-86.00030275,42.6708212","165, 154, 140",512,1344,mi
way/539648491,"-86.17875105,42.7714773","89, 88, 86",2304,1728,mi
way/1238330983,"-86.1807767,42.796484250000006","138, 121, 104",192,1472,mi
way/940170825,"-86.13450864999999,42.75897735","225, 205, 190",320,2752,mi
way/290070975,"-86.103475,42.76422530000001","135, 154, 177",384,1856,mi
way/1214394844,"-86.13062984999999,42.7744188","173, 164, 164",1344,1280,mi
way/899915991,"-86.11353665,42.7780743","83, 137, 187",2752,128,mi
way/299385473,"-86.10322615,42.78014615","128, 174, 166",1856,1856,mi
way/899684010,"-86.0908359,42.77798745","105, 163, 120",2752,64,mi
way/1262900333,"-86.00070615,42.77153585","130, 129, 116",1536,1024,mi
way/321564867,"-85.95375145,42.38636755","151, 149, 135",448,1920,mi
way/260308147,"-85.863455,42.534685550000006","169, 160, 146",192,1728,mi
way/260310786,"-85.84724510000001,42.5361246","175, 172, 155",256,1728,mi
way/735420482,"-85.8519547,42.531346299999996","133, 126, 119",2560,1984,mi
way/263050085,"-85.69955215,42.4521321","94, 121, 178",1600,1728,mi
way/863548934,"-85.63670540000001,42.44348545","98, 97, 89",2688,1088,mi
way/667987550,"-85.63921895,42.5349255","118, 116, 105",2496,576,mi
way/272972486,"-85.81573420000001,42.68573655","106, 108, 121",512,1792,mi
way/260469661,"-85.803591,42.69276335","75, 78, 86",320,1728,mi
way/1070807773,"-85.79693565,42.68121725","102, 100, 90",832,256,mi
way/1070807789,"-85.7947892,42.680483","116, 114, 93",832,320,mi
way/262074506,"-85.95165994999999,42.7795116","80, 86, 97",1280,1728,mi
way/1257915779,"-85.76386415,42.620298899999995","78, 82, 81",1536,448,mi
way/1112297959,"-85.7599396,42.62209955","125, 125, 115",0,960,mi
way/297738546,"-85.64480449999999,42.6720939","176, 166, 161",1536,1856,mi
way/494044021,"-85.6454249,42.6760419","187, 180, 166",512,2240,mi
way/297739553,"-85.6368643,42.67533435","155, 145, 143",1600,1856,mi
way/1113074928,"-85.758695,42.7266612","146, 134, 124",128,960,mi
way/262148462,"-86.19844739999999,42.803114050000005","188, 181, 161",1344,1728,mi
way/262152669,"-86.16424760000001,42.80370795","154, 146, 132",1408,1728,mi
way/239023192,"-86.04382365000001,42.83735805","189, 186, 186",1344,1664,mi
way/161392871,"-86.02706395,42.8009469","182, 178, 159",960,1600,mi
way/364391352,"-86.082223,42.8858241","68, 64, 66",1024,1984,mi
way/472466511,"-86.23840645,43.0580615","135, 126, 115",2112,2176,mi
way/1239473720,"-86.2175161,43.0585334","178, 172, 158",576,1472,mi
way/472435053,"-86.23706145,43.085748949999996","93, 88, 77",2048,2176,mi
way/1087206163,"-86.23085675,43.083751050000004","121, 117, 102",192,896,mi
way/884455236,"-86.22104365,43.0849537","157, 154, 136",64,2688,mi
way/411107114,"-86.2044497,43.06065115","101, 96, 88",0,2112,mi
way/884454040,"-86.2356962,43.092703900000004","87, 87, 77",0,2688,mi
way/706111985,"-86.238249,43.09776665","129, 122, 106",2560,832,mi
way/884452748,"-86.32037935,43.20612915","175, 161, 140",2688,2624,mi
way/902860438,"-86.26529875,43.15425005","209, 199, 201",2752,384,mi
way/365704197,"-86.19336254999999,43.1188901","168, 167, 174",1152,1984,mi
way/164851032,"-86.29176129999999,43.16726615","120, 190, 171",1088,1600,mi
way/902861565,"-86.2844444,43.1959133","124, 151, 183",2752,448,mi
way/1223296251,"-86.2480025,43.20855985","155, 152, 154",1408,1024,mi
way/701144335,"-86.2372278,43.1883196","195, 191, 186",2432,2496,mi
way/467550910,"-86.19611275,43.17296825","197, 178, 165",256,2176,mi
way/884457875,"-86.17275465,43.011904200000004","72, 71, 65",192,2688,mi
way/884455695,"-86.1826645,43.03828","167, 162, 149",128,2688,mi
way/1011031658,"-86.1646854,43.1314091","216, 204, 204",320,320,mi
way/675064478,"-86.1809081,43.2103657","66, 67, 92",2496,1472,mi
way/675064482,"-86.1795641,43.21034715","124, 118, 135",2496,1536,mi
way/700978953,"-86.1726406,43.2104917","196, 180, 181",2368,2496,mi
way/1180923188,"-85.8796651,42.8573452","193, 182, 175",704,1088,mi
way/225030980,"-85.88091835,42.8688224","189, 125, 111",0,1664,mi
way/712447433,"-85.87873815,42.8724265","186, 159, 133",2560,1152,mi
way/1167186510,"-85.834819,42.822989050000004","222, 225, 225",1088,192,mi
way/1134233916,"-85.86425299999999,42.9024775","228, 234, 234",768,960,mi
way/680795535,"-85.8400027,42.89888595","172, 172, 167",2496,2368,mi
way/680795545,"-85.8415481,42.89935355","168, 169, 166",2496,2432,mi
way/680799723,"-85.8098725,42.8895514","175, 175, 171",64,2496,mi
way/680799719,"-85.81036954999999,42.8905241","176, 177, 176",0,2496,mi
way/338220145,"-85.7994196,42.89391085","99, 104, 114",1984,1280,mi
way/670569977,"-85.88982465000001,42.95329445","125, 129, 143",2496,768,mi
way/1256028155,"-85.96703165,42.9618932","173, 151, 129",1536,0,mi
way/1256028141,"-85.96668915000001,42.9643046","189, 162, 134",1408,1472,mi
way/1256028148,"-85.9646491,42.964222449999994","181, 155, 131",1472,1472,mi
way/1256154967,"-85.9632207,42.9628066","177, 155, 130",1536,64,mi
way/194427201,"-85.9525501,42.9702054","144, 126, 121",1664,512,mi
way/995270013,"-85.90743615,42.9558066","91, 90, 103",2688,2816,mi
way/262073069,"-85.91216315,42.96742975","202, 189, 167",1216,1728,mi
way/681120120,"-85.9068786,42.96409715","71, 64, 74",192,2496,mi
