id,way,center
67,way/203049598,"-85.63654285000001,41.9457094"
68,way/203841841,"-85.64269185,41.9404043"
69,way/204487860,"-86.36175614999999,41.96664975"
70,way/204971077,"-83.2047613,42.43598780000001"
71,way/216516061,"-88.52964879999999,47.2741412"
72,way/218801806,"-83.74519860000001,42.28768205"
73,way/220502084,"-86.38259005,44.06632515"
74,way/222903045,"-83.08198355,42.34956215"
75,way/223934078,"-87.07220085,45.73777365"
76,way/223936584,"-85.69690019999999,42.9697933"
77,way/223991251,"-88.58288795,47.11854005"
78,way/223995069,"-85.69086064999999,42.967955849999996"
79,way/223995070,"-85.69117805,42.967963600000004"
80,way/224001611,"-85.65779029999999,42.81461125"
81,way/224017025,"-88.64947775,47.17585805"
82,way/224447214,"-83.39741205,42.44190905"
83,way/224447216,"-83.3971674,42.4419132"
84,way/224665998,"-87.05428895,45.739163250000004"
85,way/225030980,"-85.88091835,42.8688224"
86,way/225056685,"-85.63463835,42.9154607"
87,way/225056686,"-85.63463684999999,42.9152028"
88,way/225571665,"-85.58293135,42.9277541"
89,way/225597540,"-83.41265775,41.9541473"
90,way/225597545,"-83.50948410000001,42.00912915"
91,way/225621055,"-85.66329715,42.9193165"
92,way/225877444,"-83.38769335,42.446970050000004"
93,way/225877445,"-83.3888778,42.4471599"
94,way/226287567,"-87.07468779999999,45.76496765"
95,way/226479137,"-85.66572694999999,42.97645970000001"
96,way/226479139,"-85.664783,42.97639155"
97,way/227181859,"-88.05674005,45.79576165"
98,way/227734068,"-84.21056594999999,43.640183199999996"
99,way/228374747,"-83.71689855,42.29755375"
100,way/229063693,"-87.307155,45.7019253"
101,way/229626232,"-86.24401605,45.961906400000004"
102,way/230159619,"-86.28037165,43.28608955"
103,way/231002161,"-85.23225464999999,43.0997653"
104,way/231125654,"-85.74590825,42.939043749999996"
105,way/231509428,"-85.9457256,43.189350950000005"
106,way/231509430,"-85.94573854999999,43.1899093"
107,way/231509431,"-84.228771,43.61648825"
108,way/231614424,"-83.9052552,42.375302649999995"
109,way/232288808,"-86.6172693,46.3786572"
110,way/232292480,"-85.5036968,46.1445829"
111,way/235671072,"-84.61583385,44.6002598"
112,way/237474021,"-83.43120934999999,42.5765803"
113,way/238247989,"-85.8869651,42.957756599999996"
114,way/239023192,"-86.04382365000001,42.83735805"
115,way/240015475,"-83.40015360000001,42.5239059"
116,way/242743122,"-85.7137827,41.93010030000001"
117,way/252224305,"-85.64038225,42.2856229"
118,way/256671501,"-84.03777225,42.1476079"
119,way/256789923,"-87.06973685,45.74769085"
120,way/257039952,"-83.72774545,42.2665796"
121,way/257159631,"-84.52650415,42.7621963"
122,way/258113840,"-85.61765255,42.2684195"
123,way/258180906,"-85.6812352,42.2687473"
124,way/258636043,"-85.5878278,42.25784245"
125,way/258637408,"-85.592534,42.25514735"
126,way/258641455,"-85.6047092,42.2108212"
127,way/258645005,"-85.61236235,42.2112395"
128,way/258687936,"-82.6490274,43.83820765"
129,way/258713941,"-85.60851695,42.22042865"
130,way/258713949,"-85.60937415000001,42.2215149"
131,way/258714683,"-85.6221867,42.2205815"
132,way/258716135,"-85.62614195,42.2095712"
133,way/258716136,"-85.62587395,42.2097711"
134,way/258778804,"-85.61488985,42.2077013"
135,way/258826300,"-85.56284930000001,42.1807138"
136,way/258826319,"-85.53479915,42.1911868"
137,way/258829159,"-85.59217810000001,42.303155200000006"
138,way/258833703,"-85.64449715,42.230507700000004"
139,way/258847281,"-85.5548871,42.2625983"
140,way/258855741,"-85.64103215,42.28086365"
141,way/259078645,"-83.94230594999999,44.7332339"
142,way/259078650,"-83.94770220000001,44.73704175"
143,way/259109550,"-85.6587555,42.300819849999996"
144,way/259119796,"-85.64634045,42.20483405"
145,way/259136081,"-85.6731206,42.276732800000005"
146,way/259150662,"-85.63026215,42.11919895"
147,way/259254172,"-83.3642611,41.9503514"
148,way/259415291,"-83.31020525,44.8169324"
149,way/259435595,"-83.3048987,42.4313905"
150,way/259612773,"-83.43377695000001,45.058449"
151,way/259674503,"-85.57704815,42.282427"
152,way/259733836,"-85.58252375000001,42.29979695"
153,way/259748946,"-85.6856718,42.225664249999994"
154,way/259753968,"-85.63115245,42.2386012"
155,way/259968748,"-86.2390145,41.831320649999995"
156,way/260047103,"-85.55760265,42.2586564"
157,way/260215527,"-84.96850649999999,45.4307413"
158,way/260224712,"-85.22951245,45.333725799999996"
159,way/260308147,"-85.863455,42.534685550000006"
160,way/260310786,"-85.84724510000001,42.5361246"
161,way/260469661,"-85.803591,42.69276335"
162,way/260547147,"-85.3637007,44.92939585"
163,way/260560649,"-85.41730985000001,44.897738450000006"
164,way/260560660,"-85.41772850000001,44.89787495"
165,way/260687670,"-83.23606055,42.39635095"
166,way/260865722,"-85.93795589999999,44.961964949999995"
167,way/260865723,"-85.99004489999999,44.895218"
168,way/261453856,"-85.19599464999999,42.2771798"
169,way/261456435,"-85.19099555,42.28985335"
170,way/261602841,"-85.6455934,42.2727907"
171,way/261623928,"-83.36748779999999,42.5142206"
172,way/261628116,"-85.68014405,42.2569003"
173,way/261643458,"-86.25187249999999,42.459587150000004"
174,way/261719766,"-86.4586051,42.1036617"
175,way/261731314,"-85.15365595,42.25899905"
176,way/261733819,"-85.1372814,42.2725775"
177,way/261741749,"-86.61445275,41.89046385"
178,way/261779921,"-87.9913517,45.801702649999996"
179,way/261796641,"-83.40168265,42.50935955"
180,way/262073069,"-85.91216315,42.96742975"
181,way/262074506,"-85.95165994999999,42.7795116"
182,way/262148462,"-86.19844739999999,42.803114050000005"
183,way/262152669,"-86.16424760000001,42.80370795"
184,way/262540543,"-84.10341464999999,41.8184961"
185,way/262543317,"-85.21223839999999,44.1899705"
186,way/263050085,"-85.69955215,42.4521321"
187,way/263066461,"-85.6456319,42.96074745"
188,way/263067119,"-85.65058465,42.95979345"
189,way/263156225,"-84.91687845,42.4449828"
190,way/263156227,"-84.91675155,42.445072749999994"
191,way/263216158,"-86.2324683,43.24185805"
192,way/263216159,"-86.23221125,43.241855"
193,way/263218087,"-86.25767245,43.2250765"
194,way/263218088,"-86.25745814999999,43.2248007"
195,way/263228863,"-85.57739365,43.1293686"
196,way/263257580,"-86.3764437,43.41574075"
197,way/263257582,"-86.36265689999999,43.41671845"
198,way/263258953,"-86.50373379999999,43.657921200000004"
199,way/263269968,"-83.78190425,42.6355439"
200,way/263302020,"-84.25038215000001,42.1656904"
201,way/263302021,"-84.25010835,42.1657375"
202,way/263302306,"-84.3489754,41.9830388"
203,way/263405905,"-83.4053133,42.403980000000004"
204,way/263439604,"-84.3114504,44.8165871"
205,way/263440998,"-84.1857954,42.0059517"
206,way/263443024,"-83.95726655,41.965646500000005"
207,way/263443749,"-83.1573786,42.25028625"
208,way/263444850,"-83.4622799,42.465006599999995"
209,way/263446549,"-83.24503825,42.348241099999996"
210,way/263565986,"-83.73482765,42.29866175"
211,way/263566222,"-83.70154535,42.230737500000004"
212,way/263802076,"-83.6071139,41.77038765"
213,way/263802077,"-83.6070996,41.77015315"
214,way/263947854,"-83.269288,42.34311805"
215,way/264244861,"-85.66657194999999,42.282969300000005"
216,way/264373342,"-85.47129645,43.69210985"
217,way/264397604,"-83.93263429999999,42.612373250000005"
218,way/264541350,"-86.50424459999999,42.0170087"
219,way/264816232,"-83.0992423,42.69613295"
220,way/264821669,"-83.26027255,42.66746195"
221,way/264821671,"-83.2600138,42.66744955"
222,way/265117524,"-83.37873845,42.45853635"
223,way/265217217,"-83.3706118,42.456025350000004"
224,way/266745295,"-85.63109475,42.2371869"
225,way/266746603,"-85.6444943,42.23061705"
226,way/266911228,"-85.58111654999999,44.7670263"
227,way/267038827,"-85.6519869,42.30277005"
228,way/269537153,"-83.96687130000001,43.510381100000004"
229,way/269537194,"-83.96411745,43.510289099999994"
230,way/270832884,"-83.31471355,42.350283950000005"
231,way/271217551,"-85.6520285,44.977422399999995"
232,way/272972485,"-85.81558545,42.68574545"
233,way/272972486,"-85.81573420000001,42.68573655"
234,way/273892760,"-83.21249,42.498993299999995"
235,way/274180877,"-83.2112965,42.48179625"
236,way/274813699,"-83.32545934999999,42.4578497"
237,way/274813700,"-83.3260269,42.45801275"
238,way/274813701,"-83.32659749999999,42.45818765"
239,way/275396785,"-83.3472254,42.49435265"
240,way/278084436,"-85.57752595,44.74754595"
241,way/279192255,"-83.63086955,42.92216715"
242,way/279192258,"-83.63054955,42.92216855"
243,way/279335680,"-83.1355145,42.305497700000004"
244,way/281203971,"-86.21980895,44.35416935"
245,way/281240777,"-87.67167169999999,46.4970263"
246,way/281240778,"-87.71256525,46.48741545"
247,way/281240784,"-87.6638356,46.51038285"
248,way/281371880,"-86.48973565,41.95696135"
249,way/281399452,"-87.40588665,46.545945849999995"
250,way/281399455,"-87.41533435,46.5331669"
251,way/281399457,"-87.3995,46.53322875"
252,way/281473064,"-86.2032245,44.36444635"
253,way/281473066,"-86.2033726,44.36455485"
254,way/281978729,"-82.43811495,43.00354005"
255,way/282185829,"-82.45475995000001,42.94067165"
256,way/282185832,"-82.45374340000001,42.95138635"
257,way/282185833,"-82.44215505,43.01204995"
258,way/282185836,"-82.4355669,42.991187100000005"
259,way/282185838,"-82.42814395,43.0025931"
260,way/282185840,"-82.44089725,42.95458495"
261,way/282185846,"-82.44684935000001,42.949596299999996"
262,way/282185847,"-82.43144620000001,42.968925049999996"
263,way/282232538,"-83.7759632,42.180946649999996"
264,way/282344313,"-85.5346317,42.19122335"
265,way/282513258,"-83.36610675,42.43165835"
266,way/283268365,"-83.69173325,42.23586845"
267,way/283268366,"-83.69147515,42.2358853"
268,way/283283161,"-84.49639880000001,45.63121855"
269,way/283423021,"-85.61042325,42.8534416"
270,way/283620542,"-87.4752585,46.046161"
271,way/283643587,"-83.7116851,42.2398065"
272,way/284353585,"-87.07554245,45.77629345"
273,way/284353588,"-87.07534575,45.77630795"
274,way/284427297,"-86.21797605,44.35323305"
275,way/284460884,"-87.5536902,45.590585899999994"
276,way/284557555,"-87.52687795,45.700013350000006"
277,way/284557556,"-87.52672104999999,45.69990464999999"
278,way/284901164,"-83.20630320000001,42.1237658"
279,way/284906466,"-83.18755949999999,42.1395546"
280,way/285803489,"-87.85909325,45.7805701"
281,way/285977916,"-88.0745848,45.8035371"
282,way/285977918,"-88.10251844999999,45.805418599999996"
283,way/285977924,"-88.0686154,45.819181900000004"
284,way/285977932,"-88.09146035,45.797276600000004"
285,way/286687199,"-83.44472769999999,42.3887338"
286,way/286901954,"-88.34023214999999,46.0954287"
287,way/287288586,"-83.6012954,42.58785375"
288,way/287623460,"-88.641749,46.09837395"
289,way/288353616,"-85.98723675,46.67301875"
290,way/288369753,"-85.37321425,43.7183835"
291,way/288727439,"-85.0667335,44.90122115"
292,way/288808343,"-86.2767848,42.406633"
293,way/289314076,"-83.49259795,44.29055065"
294,way/289314078,"-83.493029,44.2905523"
295,way/289386773,"-84.17175825000001,43.6160336"
296,way/289386783,"-84.17159194999999,43.616033650000006"
297,way/289386786,"-84.1729269,43.61984205"
298,way/289894315,"-85.61470034999999,42.20769705"
299,way/289965861,"-84.0135195,43.453320250000004"
300,way/290070975,"-86.103475,42.76422530000001"
301,way/290070977,"-84.335814,43.410916150000006"
302,way/290206698,"-84.62699415,41.93067515"
303,way/290222164,"-86.0080071,42.1094551"
304,way/290277558,"-85.56453024999999,42.291971149999995"
305,way/290465000,"-85.0219264,41.950643400000004"
306,way/290465001,"-84.14773729999999,42.0664769"
307,way/290466988,"-85.4020565,41.8134192"
308,way/290468709,"-85.40934490000001,41.791373050000004"
309,way/290766640,"-83.05243575,42.4149755"
310,way/290766644,"-83.57456465,42.6500669"
311,way/291034551,"-86.26944660000001,43.336782549999995"
312,way/291617540,"-85.51451185,42.284869"
313,way/291678552,"-84.42464240000001,42.58064155"
314,way/291678555,"-84.42441925,42.5806041"
315,way/291678557,"-84.41152475000001,42.26161975"
316,way/292978694,"-85.8405249,42.169462100000004"
317,way/292978695,"-85.8412261,42.169891500000006"
318,way/293902632,"-83.50394545,42.91812045"
319,way/294239644,"-83.24271780000001,42.53927405"
320,way/294393550,"-83.7658365,42.634727999999996"
321,way/294882637,"-83.81904815,42.3448907"
322,way/295764030,"-85.5076311,46.32971895"
323,way/297738545,"-85.6448065,42.672226"
324,way/297738546,"-85.64480449999999,42.6720939"
325,way/297739551,"-85.63686695000001,42.6754686"
326,way/297739553,"-85.6368643,42.67533435"
327,way/298600691,"-83.7110388,42.29971615"
328,way/298600693,"-83.71176464999999,42.29824045"
329,way/298659224,"-84.5919965,42.717536949999996"
330,way/299385470,"-86.1034391,42.7801458"
331,way/299385473,"-86.10322615,42.78014615"
332,way/301501436,"-85.35895984999999,42.335814799999994"
333,way/301501437,"-85.35895909999999,42.335733149999996"
334,way/301593240,"-83.77843039999999,42.17423895"
335,way/302177117,"-85.8121196,42.91570965"
336,way/303312208,"-83.4034913,42.384680700000004"
337,way/303623928,"-83.69943094999999,42.2935555"
338,way/305084915,"-86.25994215,42.4226936"
339,way/306620815,"-85.6012787,45.02409085"
340,way/306622327,"-85.61710125,45.0201306"
341,way/306623479,"-85.62729385,45.01955125"
342,way/306855878,"-83.6853866,42.28496545"
343,way/307806390,"-83.34563865,42.4213015"
344,way/308523099,"-86.35345995,41.9567976"
345,way/310703215,"-83.71722425,42.301945200000006"
346,way/312340202,"-85.6382795,42.946940049999995"
347,way/312340492,"-85.63193135,42.9607611"
348,way/312341083,"-85.63789215,42.9683746"
349,way/312341229,"-85.64585985,42.9653079"
350,way/312342707,"-85.58670939999999,42.995450399999996"
351,way/312682037,"-83.31401890000001,42.3990839"
352,way/313512466,"-83.45765115,42.4074337"
353,way/313630828,"-83.76372495000001,42.2499793"
354,way/313910931,"-83.33597605,42.28105475"
355,way/314424858,"-86.10550545000001,42.598076199999994"
356,way/314424860,"-86.1053067,42.59807645"
357,way/314908047,"-83.43469275000001,42.54146145"
358,way/315148022,"-83.32212665,42.33423675"
359,way/315559901,"-83.22561345,42.32342715"
360,way/315699569,"-83.7327426,42.2794118"
361,way/316420454,"-85.4417581,42.370510100000004"
362,way/316420455,"-85.44162234999999,42.37049775"
363,way/316420456,"-85.44149164999999,42.3704854"
364,way/316611969,"-85.57514785000001,42.922263900000004"
365,way/316711907,"-84.22028979999999,43.658578750000004"
366,way/317117664,"-83.4015371,42.32242365"
367,way/317468375,"-83.21321485,42.345578849999995"
368,way/317874531,"-83.35517715,42.33178405"
369,way/317874534,"-83.34149475,42.3322285"
370,way/318658522,"-83.25621085,42.4261978"
371,way/318658524,"-83.23282979999999,42.424209649999995"
372,way/321018023,"-84.0817907,41.9095913"
373,way/321320385,"-83.70999545,41.897689150000005"
374,way/321320386,"-83.709999,41.89744455"
375,way/321552291,"-86.16287125,42.2108959"
376,way/321552292,"-86.1628731,42.2107322"
377,way/321564867,"-85.95375145,42.38636755"
378,way/321565543,"-86.36223715,43.6163633"
379,way/321565544,"-86.3619973,43.6163527"
380,way/321674771,"-84.77539345,43.5836142"
381,way/321812165,"-84.55518889999999,42.2083401"
382,way/322015553,"-86.4730448,42.0548041"
383,way/322241747,"-86.10913835,43.248118500000004"
384,way/322247555,"-83.53703465000001,42.7523597"
385,way/322596326,"-84.52491855,41.9631914"
386,way/322783446,"-83.66749659999999,42.094744"
387,way/322783447,"-83.66732164999999,42.094750000000005"
388,way/323051316,"-83.40228345,42.48015025"
389,way/323064715,"-85.63093755,44.752854299999996"
390,way/323073981,"-85.51209399999999,43.735329750000005"
391,way/323270005,"-85.22899559999999,42.28839585"
392,way/323277610,"-85.2171968,42.303822350000004"
393,way/323277611,"-85.21703310000001,42.30382375000001"
394,way/323302483,"-85.15365675000001,42.31129535"
395,way/323302484,"-85.1534379,42.3112732"
396,way/323991680,"-83.54763125,42.43635785"
397,way/324125213,"-83.2702264,42.4394542"
398,way/325834397,"-83.34369484999999,42.35180625"
399,way/326845514,"-83.26243600000001,42.4063062"
400,way/326962496,"-83.2080733,42.43767695"
401,way/326962499,"-83.19581265,42.42374585"
402,way/327007794,"-83.2226462,42.36686924999999"
403,way/327153413,"-83.16691639999999,42.39602215"
404,way/327153418,"-83.18180050000001,42.3949611"
405,way/327153421,"-83.1833022,42.42317535"
406,way/327173242,"-83.109134,42.4087294"
407,way/327173244,"-83.1330304,42.38862965"
408,way/327351353,"-83.17336470000001,42.33380555"
409,way/327517925,"-83.14146135,42.324464899999995"
410,way/327517926,"-83.1467571,42.31078105"
411,way/327517927,"-83.1478351,42.3110197"
412,way/328265178,"-83.24083264999999,42.38773105"
413,way/328295324,"-83.27474595,42.380148750000004"
414,way/328492817,"-83.23495034999999,42.432086600000005"
415,way/328697356,"-83.7311749,42.2566564"
416,way/329338095,"-83.24721865000001,42.51704435"
417,way/330460330,"-83.72638455,42.247874350000004"
418,way/331013014,"-86.4644435,42.08289805"
419,way/332685120,"-85.82902544999999,42.97643135"
420,way/332767820,"-85.6607676,42.982447050000005"
421,way/332768439,"-85.66181245000001,42.99770995"
422,way/333522079,"-85.65273074999999,42.9334317"
423,way/334345709,"-83.79630359999999,42.28854555"
424,way/337404317,"-85.6779099,44.7129255"
425,way/337406970,"-85.6776973,44.7129293"
426,way/337492183,"-84.58562275,42.68828245"
427,way/337492184,"-84.58544855,42.688280649999996"
428,way/338017367,"-84.5984725,42.6901588"
429,way/338118318,"-83.2346843,42.3682892"
430,way/338168097,"-83.4464288,42.46209775"
431,way/338220145,"-85.7994196,42.89391085"
432,way/339328177,"-83.1898081,42.467209749999995"
433,way/342088384,"-83.33119400000001,41.93088525"
434,way/342088389,"-83.33073535,41.93135545"
435,way/344097927,"-83.18873315,42.62971125"
436,way/344178665,"-83.218645,42.64083775"
437,way/344181815,"-83.52464185,42.5300527"
438,way/344621712,"-87.99329275,46.41165735"
439,way/344622230,"-83.11275715,42.454313"
440,way/344855910,"-87.7317994,46.8261255"
441,way/345759750,"-85.2665551,43.59846125"
442,way/346058976,"-87.68503154999999,46.458563"
443,way/346079950,"-87.66273340000001,46.493955650000004"
444,way/346920936,"-83.8654841,42.28804675"
445,way/347681473,"-89.58434199999999,46.7497934"
446,way/352049172,"-84.53706025,42.772828000000004"
447,way/352049174,"-84.52919765,42.783448899999996"
448,way/353045551,"-85.56427894999999,42.90087065"
449,way/353523135,"-84.77878860000001,43.606795149999996"
450,way/353523139,"-84.7787541,43.60647765"
451,way/353665949,"-83.08536255,42.321636299999994"
452,way/354315955,"-83.1398726,42.689926299999996"
453,way/354315956,"-83.1402067,42.68997255"
454,way/355369718,"-86.36900105000001,43.2817323"
455,way/358540858,"-86.20384949999999,42.6572537"
456,way/361136098,"-83.19465295,42.2692579"
457,way/361259700,"-83.2250268,42.26493655"
458,way/361259708,"-83.22571995,42.26009705"
459,way/361492354,"-83.2109377,42.23076795"
460,way/361492356,"-83.2132297,42.228838350000004"
461,way/362334906,"-85.74241565,42.895343"
462,way/363764011,"-83.19623475,42.4919783"
463,way/364391352,"-86.082223,42.8858241"
464,way/364550054,"-84.9570678,42.2699674"
465,way/365704196,"-86.19358625,43.118889100000004"
466,way/365704197,"-86.19336254999999,43.1188901"
467,way/365772369,"-85.82563305,42.9902508"
468,way/366818022,"-85.5193109,42.80097885000001"
469,way/366818023,"-85.52031225,42.80100815"
470,way/366820428,"-85.5194384,42.796809350000004"
471,way/366830455,"-85.52412394999999,42.78636585"
472,way/366831962,"-85.52095465,42.786843000000005"
473,way/366831963,"-85.52003475000001,42.787328200000005"
474,way/367527284,"-84.22622675,45.97916725"
475,way/368080323,"-83.30968775,42.29775325"
476,way/368080324,"-83.30940709999999,42.2977568"
477,way/368128001,"-83.4954999,42.5639922"
478,way/368854129,"-82.9776675,42.3399615"
479,way/368854130,"-82.9828832,42.3361555"
480,way/369092800,"-83.35300595,42.32870965"
481,way/369240584,"-83.2819237,42.27721975"
482,way/369240586,"-83.2819317,42.277351749999994"
483,way/369901248,"-84.47016625,42.7432379"
484,way/371826145,"-83.07386315,42.328911000000005"
485,way/372290675,"-83.40211625,42.23243425"
486,way/372651277,"-85.7596814,42.89344165"
487,way/372651278,"-85.75992785,42.892626199999995"
488,way/374521262,"-84.23130495000001,44.2728024"
489,way/374521263,"-84.23143400000001,44.2726907"
490,way/375441479,"-85.60514380000001,42.8708374"
491,way/376273062,"-85.59042869999999,44.76029095"
492,way/376273063,"-85.59021925,44.76032815"
493,way/377068626,"-84.24235205,43.62013125"
494,way/378822407,"-85.27967935000001,42.330713450000005"
495,way/378966866,"-83.63115425000001,42.63248725"
496,way/379096662,"-83.45122275,42.5939819"
497,way/379488815,"-83.57617855000001,42.211191400000004"
498,way/379488829,"-83.5710243,42.22503845"
499,way/381477852,"-85.65152245,44.79724915"
500,way/382950560,"-83.52533464999999,42.55587225"
501,way/383212153,"-83.0262642,42.3394671"
502,way/383237732,"-83.15678514999999,42.266801650000005"
503,way/383369713,"-83.0492175,42.35125645"
504,way/383545803,"-83.04538665,42.3585315"
505,way/384127934,"-85.45848315,44.0393312"
506,way/384325446,"-83.47773615,42.291447149999996"
507,way/384597048,"-84.10248329999999,43.506612399999995"
508,way/384597049,"-84.10354555,43.50844415"
509,way/384597050,"-84.1020225,43.50661855"
510,way/384597051,"-84.1029982,43.50568935"
511,way/384597053,"-84.1025116,43.507974700000005"
512,way/384597055,"-84.1032216,43.5056891"
513,way/384597061,"-84.10241205,43.5084297"
514,way/384665138,"-83.47867265,42.31034605"
515,way/385386937,"-83.16541575,42.44200615"
516,way/385455517,"-83.1802022,42.27520095"
517,way/385511261,"-83.19302404999999,42.26136955"
518,way/385692195,"-83.50239535,42.558703300000005"
519,way/385692199,"-83.5026949,42.55865745"
520,way/385692203,"-83.50241555,42.5588701"
521,way/385692208,"-83.50289649999999,42.55864715"
522,way/385773055,"-83.6337489,42.517301"
523,way/386333676,"-85.62919475000001,45.130114750000004"
524,way/386580008,"-83.2788044,42.3187695"
525,way/386785429,"-83.62007135,42.798120749999995"
526,way/386828357,"-83.42690325000001,42.52802665"
527,way/386931069,"-85.46903995,42.1547039"
528,way/388148773,"-83.72066505000001,42.24042115"
529,way/391766224,"-85.6872139,44.74836285"
530,way/392959479,"-83.4636357,42.434325"
531,way/393535450,"-83.75349425,42.24904205"
532,way/393917945,"-83.77405865,42.2548143"
533,way/393917946,"-83.7552793,42.268045099999995"
534,way/393917949,"-83.7815606,42.27201935"
535,way/393917951,"-83.75864655000001,42.2529277"
536,way/394161177,"-83.76754890000001,42.277190950000005"
537,way/394161178,"-83.7704979,42.283826250000004"
538,way/394236840,"-83.75199035,42.29132425"
539,way/394236842,"-83.7728921,42.294947500000006"
540,way/394510218,"-83.7194293,42.3212659"
541,way/394745575,"-83.72692555,42.30897095"
542,way/394889896,"-83.6972765,42.314863450000004"
543,way/395179492,"-83.379671,42.2743938"
544,way/395179496,"-83.40417070000001,42.287506500000006"
545,way/395698010,"-83.3829968,42.27135085"
546,way/395698011,"-83.4252999,42.2746967"
547,way/395698016,"-83.3582426,42.27051005"
548,way/396383518,"-83.4950154,42.4336251"
549,way/396487081,"-83.27923395,42.33076235"
550,way/396487092,"-83.26240115,42.27394065"
551,way/396487094,"-83.2547329,42.2720183"
552,way/396487095,"-83.27924025,42.330898950000005"
553,way/396611536,"-83.34944870000001,42.290380400000004"
554,way/396653743,"-84.62503815,45.858559400000004"
555,way/397008304,"-83.31626005,42.27750595"
556,way/397008306,"-83.292032,42.28440205"
557,way/397008307,"-83.3293277,42.2766831"
558,way/397008308,"-83.32995155,42.27734055"
559,way/398451527,"-84.18051075,43.602704700000004"
560,way/398929185,"-83.43415655,41.81998325"
561,way/398950607,"-83.37791175000001,41.90129585"
562,way/399084675,"-83.3800426,41.908775399999996"
563,way/400427986,"-85.60647700000001,42.875493500000005"
564,way/400427992,"-85.60063445,42.88139295"
565,way/400686183,"-83.02956685000001,42.63173915"
566,way/400686185,"-83.0292681,42.63174465"
567,way/400696379,"-85.72244649999999,42.889829399999996"
568,way/400696381,"-85.73178544999999,42.86070235"
569,way/400697284,"-85.56361895,42.9666096"
570,way/401693036,"-83.5878769,42.58533955"
571,way/402154093,"-85.72916175,42.925412699999995"
572,way/403109559,"-83.711135,42.24303715"
573,way/404388318,"-83.22380054999999,42.66049925"
574,way/404388319,"-83.22402165,42.6605087"
575,way/405045443,"-84.74310155,45.781343899999996"
576,way/405585982,"-87.4267859,46.4616519"
577,way/405585984,"-87.4267836,46.46148585"
578,way/406198084,"-83.46569205,42.3674915"
579,way/406215148,"-83.5349177,42.380538099999995"
580,way/406269126,"-85.50814059999999,44.684058449999995"
581,way/406670361,"-83.17481975000001,42.17881115"
