id,way,center
0,way/17734091,"-85.18785905,42.33393065"
1,way/27785617,"-83.7379425,42.3060114"
2,way/32728441,"-84.55789795,42.71676635"
3,way/33106026,"-83.73137335,42.316850200000005"
4,way/51968234,"-83.07484195,42.5242298"
5,way/59638127,"-84.62457035,42.749620300000004"
6,way/68528931,"-83.96500415,43.5119015"
7,way/83955630,"-83.08496655,42.573495199999996"
8,way/83955631,"-83.08496115,42.57333075"
9,way/95997889,"-83.31913309999999,42.546046399999994"
10,way/97879962,"-84.47359905,42.7308482"
11,way/124549167,"-85.59065785,44.760290999999995"
12,way/129611331,"-86.33860535,43.41112525"
13,way/129611355,"-86.33833390000001,43.411127199999996"
14,way/129613620,"-86.3765728,43.41574115"
15,way/129613623,"-86.37813285,43.41570365"
16,way/134629192,"-85.63015955,42.92531485"
17,way/134629197,"-85.63033680000001,42.925300050000004"
18,way/134671139,"-83.6720473,43.0137385"
19,way/134861135,"-85.69800649999999,42.9216459"
20,way/134861141,"-85.69821825,42.9216453"
21,way/134866089,"-85.693579,42.99609255"
22,way/134866092,"-85.69380229999999,42.99608915"
23,way/134869524,"-84.56888905,42.99687475"
24,way/135625522,"-84.60134095000001,43.412372000000005"
25,way/153252580,"-83.3687841,42.5585964"
26,way/153252581,"-83.37064889999999,42.558488249999996"
27,way/153270122,"-83.398961,42.5876267"
28,way/153272518,"-83.35211175,42.5997951"
29,way/153272802,"-83.34245065,42.6091124"
30,way/155361531,"-83.1684714,42.21097705"
31,way/155361532,"-83.1686417,42.2109763"
32,way/159833010,"-84.6499053,42.7602866"
33,way/161392871,"-86.02706395,42.8009469"
34,way/162612878,"-85.77173490000001,42.88773675"
35,way/164851032,"-86.29176129999999,43.16726615"
36,way/164962500,"-83.06924845,42.6469264"
37,way/164966571,"-84.6820195,45.7538577"
38,way/171570460,"-84.7619542,42.24658635"
39,way/171570463,"-84.76143105,42.24669135"
40,way/172109052,"-84.39202055,42.7690693"
41,way/172438967,"-84.50073405,42.72766145"
42,way/173485999,"-84.74409994999999,42.2386881"
43,way/173486000,"-84.74392655,42.23868805"
44,way/175155865,"-84.76114419999999,42.247254049999995"
45,way/181227138,"-83.62605454999999,42.2524759"
46,way/181227139,"-83.62571625,42.2524806"
47,way/183671855,"-85.670503,42.956624250000004"
48,way/183671857,"-85.6704816,42.95639165"
49,way/183671860,"-85.67427405000001,42.96422695"
50,way/183792100,"-85.59847165,42.2909205"
51,way/186978398,"-85.77501615,43.013129750000004"
52,way/186978400,"-85.7714373,43.00663515"
53,way/186978412,"-85.77119060000001,43.006635349999996"
54,way/186978420,"-85.7734226,43.01351425"
55,way/192285442,"-86.23468065,44.6369979"
56,way/192285444,"-86.2344376,44.636990499999996"
57,way/192636839,"-85.8917889,42.9676993"
58,way/192636840,"-85.89214125000001,42.967755999999994"
59,way/192636846,"-85.89214154999999,42.968012200000004"
60,way/193803221,"-83.75444715,42.28340455"
61,way/194343316,"-83.1102389,42.3263432"
62,way/194343317,"-83.1099986,42.3264125"
63,way/194427201,"-85.9525501,42.9702054"
64,way/198615076,"-83.19435519999999,42.0696984"
65,way/198615085,"-83.19475355,42.069983300000004"
66,way/199265009,"-85.6598992,42.9253741"
