id,chunk,location,center,x,state,y,geo
22148967,0,Dorado,"-66.2906,18.4428",0,PR,0,0
22174915,0,Juncos,"-65.9167,18.2222",64,PR,0,0
72364568,0,San Juan,"-66.0524,18.4027",0,PR,64,0
131560645,0,Toa Alta,"-66.2044,18.3573",64,PR,64,0
138167007,0,Rincón,"-67.2401,18.3197",128,PR,0,0
138184290,0,Rincón,"-67.2561,18.3427",128,PR,64,0
146143297,0,San Juan,"-66.1216,18.4667",0,PR,128,0
147916027,0,Guaynabo,"-66.1135,18.4321",64,PR,128,0
199339734,0,Gurabo,"-66.001,18.2238",128,PR,128,0
199459260,0,Vega Baja,"-66.3965,18.4262",192,PR,0,0
202550976,0,Río Grande,"-65.8343,18.3765",192,PR,64,0
202969723,0,Ponce,"-66.603,18.0206",192,PR,128,0
203249459,0,San Sebastián,"-66.9245,18.3131",0,PR,192,0
203308506,0,Hatillo,"-66.8166,18.484",64,PR,192,0
203682620,0,Naranjito,"-66.2464,18.3025",128,PR,192,0
203682630,0,Naranjito,"-66.2451,18.3023",192,PR,192,0
203766052,0,Aguas Buenas,"-66.0941,18.2401",256,PR,0,0
203832462,0,Fajardo,"-65.6641,18.3406",256,PR,64,0
204048431,0,Frontón,"-66.5661,18.3113",256,PR,128,0
204144869,0,Mayagüez,"-67.1587,18.2124",256,PR,192,0
204521460,0,Loíza,"-65.8767,18.4299",0,PR,256,0
204867179,0,Quebradillas,"-66.9354,18.4782",64,PR,256,0
204867186,0,Quebradillas,"-66.9385,18.4779",128,PR,256,0
221071628,0,Canóvanas,"-65.8888,18.3394",192,PR,256,0
221072040,0,Canóvanas,"-65.8714,18.3204",256,PR,256,0
221079925,0,Mayagüez,"-67.1488,18.2156",320,PR,0,0
236864489,0,San Juan,"-66.0674,18.4408",320,PR,64,0
237056389,0,Ponce,"-66.6066,17.9953",320,PR,128,0
237056552,0,Ponce,"-66.6076,17.9942",320,PR,192,0
237159097,0,Caguas,"-66.0315,18.2467",320,PR,256,0
237536335,0,San Juan,"-66.0497,18.4142",0,PR,320,0
237540422,0,Carolina,"-65.9645,18.3873",64,PR,320,0
256387098,0,San Juan,"-66.1136,18.4682",128,PR,320,0
256662602,0,San Juan,"-66.1109,18.4656",192,PR,320,0
256745826,0,Peñuelas,"-66.7241,18.0659",256,PR,320,0
259681330,0,San Juan,"-66.0794,18.4477",320,PR,320,0
259681722,0,San Juan,"-66.0694,18.4511",384,PR,0,0
260043613,0,San Juan,"-66.0695,18.4482",384,PR,64,0
261244043,0,Mayagüez,"-67.9391,18.0875",384,PR,128,0
262743994,0,Gurabo,"-65.9995,18.2578",384,PR,192,0
271366562,0,San Juan,"-66.1173,18.461",384,PR,256,0
275274046,0,San Juan,"-66.0756,18.456",384,PR,320,0
286618651,0,Carolina,"-65.9555,18.3788",0,PR,384,0
286672387,0,San Juan,"-66.0748,18.3918",64,PR,384,0
287887074,0,San Juan,"-65.9945,18.4034",128,PR,384,0
288043183,0,San Juan,"-66.0351,18.4213",192,PR,384,0
288043841,0,San Juan,"-66.0399,18.4186",256,PR,384,0
293560926,0,San Juan,"-66.1011,18.4663",320,PR,384,0
293568002,0,San Juan,"-66.0955,18.4632",384,PR,384,0
293935628,0,San Juan,"-66.0976,18.4643",448,PR,0,0
294778391,0,San Juan,"-66.0798,18.4204",448,PR,64,0
295523798,0,San Juan,"-66.0997,18.4656",448,PR,128,0
298364949,0,Caguas,"-66.0368,18.2303",448,PR,192,0
301166949,0,San Juan,"-66.057,18.4333",448,PR,256,0
302318243,0,San Juan,"-66.059,18.4221",448,PR,320,0
302349864,0,San Juan,"-66.0583,18.4099",448,PR,384,0
304233015,0,San Juan,"-66.0625,18.4352",0,PR,448,0
304926338,0,San Juan,"-66.0654,18.4543",64,PR,448,0
305074073,0,Toa Alta,"-66.2707,18.346",128,PR,448,0
305362797,0,San Juan,"-66.0784,18.4501",192,PR,448,0
305362799,0,San Juan,"-66.0773,18.4504",256,PR,448,0
308813916,0,Guaynabo,"-66.1309,18.3629",320,PR,448,0
308908798,0,Guaynabo,"-66.1121,18.3513",384,PR,448,0
309768435,0,San Juan,"-66.0648,18.4415",448,PR,448,0
312666502,0,Manatí,"-66.4663,18.4352",512,PR,0,0
314659400,0,Trujillo Alto,"-66.0111,18.3358",512,PR,64,0
314666383,0,San Juan,"-66.081,18.4486",512,PR,128,0
315563752,0,Mayagüez,"-67.148,18.1965",512,PR,192,0
319053910,0,Salinas,"-66.2311,18.0309",512,PR,256,0
319652143,0,Rincón,"-67.268,18.3591",512,PR,320,0
320323093,0,San Juan,"-66.0659,18.442",512,PR,384,0
322982865,0,Arecibo,"-66.7264,18.468",512,PR,448,0
327350526,0,San Juan,"-66.0664,18.387",0,PR,512,0
328050652,0,San Juan,"-66.0954,18.3804",64,PR,512,0
333991872,0,San Juan,"-66.0614,18.4513",128,PR,512,0
335284784,0,San Juan,"-66.0615,18.4178",192,PR,512,0
335284794,0,San Juan,"-66.0639,18.4171",256,PR,512,0
335284795,0,San Juan,"-66.0647,18.4178",320,PR,512,0
336768290,0,Sabana Grande,"-66.9637,18.0798",384,PR,512,0
336768295,0,Sabana Grande,"-66.9632,18.0782",448,PR,512,0
336779854,0,Bayamón,"-66.1833,18.3927",512,PR,512,0
336783651,0,Bayamón,"-66.1793,18.3892",576,PR,0,0
337312154,0,Bayamón,"-66.1685,18.4208",576,PR,64,0
337683085,0,Bayamón,"-66.1613,18.3102",576,PR,128,0
337821593,0,Bayamón,"-66.1921,18.2784",576,PR,192,0
338017668,0,Bayamón,"-66.1326,18.3816",576,PR,256,0
338133698,0,Bayamón,"-66.172,18.408",576,PR,320,0
338890524,0,Bayamón,"-66.1919,18.3753",576,PR,384,0
338890539,0,Bayamón,"-66.1911,18.3696",576,PR,448,0
339088580,0,Bayamón,"-66.1581,18.3882",576,PR,512,0
339547960,0,Bayamón,"-66.1418,18.3908",0,PR,576,0
339579881,0,Bayamón,"-66.151,18.399",64,PR,576,0
339732068,0,Bayamón,"-66.1965,18.3095",128,PR,576,0
339955797,0,Guaynabo,"-66.1403,18.3226",192,PR,576,0
340350200,0,Bayamón,"-66.1838,18.387",256,PR,576,0
341105461,0,Bayamón,"-66.1846,18.3465",320,PR,576,0
345106806,0,Bayamón,"-66.1496,18.359",384,PR,576,0
347313177,0,Bayamón,"-66.1899,18.3517",448,PR,576,0
347634339,0,San Juan,"-66.0406,18.4347",512,PR,576,0
347762306,0,San Juan,"-66.0796,18.4499",576,PR,576,0
359680005,0,San Juan,"-66.0491,18.449",640,PR,0,0
362870640,0,San Juan,"-66.0766,18.4531",640,PR,64,0
363059691,0,San Juan,"-66.0815,18.4469",640,PR,128,0
363357849,0,San Juan,"-66.0094,18.4068",640,PR,192,0
364185191,0,San Juan,"-66.0659,18.4051",640,PR,256,0
364374583,0,San Juan,"-66.0891,18.4043",640,PR,320,0
364377149,0,San Juan,"-66.0601,18.4165",640,PR,384,0
364515454,0,San Juan,"-66.0845,18.318",640,PR,448,0
364933470,0,San Juan,"-66.0457,18.3279",640,PR,512,0
365140847,0,San Juan,"-66.0149,18.3992",640,PR,576,0
365324680,0,San Juan,"-66.0861,18.3399",0,PR,640,0
365418764,0,San Juan,"-66.0961,18.3814",64,PR,640,0
365591463,0,San Juan,"-66.0819,18.3495",128,PR,640,0
365928476,0,San Juan,"-66.0607,18.4454",192,PR,640,0
366000377,0,San Juan,"-66.0364,18.4359",256,PR,640,0
366408921,0,San Lorenzo,"-65.9947,18.1624",320,PR,640,0
366412262,0,Bayamón,"-66.1674,18.4182",384,PR,640,0
366412264,0,Bayamón,"-66.1709,18.4167",448,PR,640,0
366412268,0,Bayamón,"-66.1639,18.4171",512,PR,640,0
366726062,0,San Juan,"-66.0364,18.3708",576,PR,640,0
367826849,0,Guaynabo,"-66.1019,18.4078",640,PR,640,0
368769479,0,Bayamón,"-66.1279,18.3825",704,PR,0,0
368869627,0,San Juan,"-66.046,18.4303",704,PR,64,0
368869628,0,San Juan,"-66.0504,18.4317",704,PR,128,0
368869629,0,San Juan,"-66.052,18.4328",704,PR,192,0
368869630,0,San Juan,"-66.0535,18.4274",704,PR,256,0
368869631,0,San Juan,"-66.0422,18.4272",704,PR,320,0
369439480,0,San Juan,"-66.0421,18.4357",704,PR,384,0
369449208,0,San Juan,"-66.0411,18.431",704,PR,448,0
369781043,0,Carolina,"-66.0247,18.4404",704,PR,512,0
371058422,0,San Juan,"-66.0643,18.4378",704,PR,576,0
372993589,0,San Juan,"-66.0502,18.4229",704,PR,640,0
373405242,0,San Juan,"-66.0874,18.3785",0,PR,704,0
373405246,0,San Juan,"-66.0846,18.3772",64,PR,704,0
373411376,0,San Juan,"-66.0537,18.4262",128,PR,704,0
373635927,0,San Juan,"-66.068,18.4187",192,PR,704,0
376552310,0,Carolina,"-65.9604,18.4167",256,PR,704,0
377921187,0,San Juan,"-66.0378,18.4054",320,PR,704,0
377921188,0,San Juan,"-66.0348,18.4097",384,PR,704,0
379900342,0,Caguas,"-66.0482,18.2547",448,PR,704,0
379975008,0,Caguas,"-66.0584,18.2331",512,PR,704,0
380147501,0,San Germán,"-66.974,18.1396",576,PR,704,0
380677445,0,Quebradillas,"-66.9389,18.4693",640,PR,704,0
380851497,0,Hatillo,"-66.8197,18.4868",704,PR,704,0
380851503,0,Camuy,"-66.8465,18.4847",768,PR,0,0
380851505,0,Hatillo,"-66.8265,18.4846",768,PR,64,0
381064744,0,Guaynabo,"-66.1066,18.3797",768,PR,128,0
381064746,0,Guaynabo,"-66.1112,18.3791",768,PR,192,0
381064750,0,Guaynabo,"-66.1119,18.3799",768,PR,256,0
381597013,0,Arecibo,"-66.7359,18.4676",768,PR,320,0
382872542,0,Arecibo,"-66.7424,18.4626",768,PR,384,0
382872543,0,Arecibo,"-66.7326,18.473",768,PR,448,0
382872544,0,Arecibo,"-66.7343,18.4631",768,PR,512,0
385849840,0,Arecibo,"-66.7269,18.4628",768,PR,576,0
385849847,0,Arecibo,"-66.7242,18.4559",768,PR,640,0
385851837,0,Barceloneta,"-66.5615,18.4356",768,PR,704,0
385941043,0,Bayamón,"-66.1754,18.4134",0,PR,768,0
