id,chunk,location,color,center,x,state,y,geo
22148967,0,Dorado,#6e7080,"-66.2906,18.4428",0,PR,0,0
22174915,0,Juncos,#75716d,"-65.9167,18.2222",64,PR,0,0
72364568,0,San Juan,#bbaa97,"-66.0524,18.4027",0,PR,64,0
131560645,0,Toa Alta,#90c0df,"-66.2044,18.3573",64,PR,64,0
138167007,0,Rincon,#847c7b,"-67.2401,18.3197",128,PR,0,0
138184290,0,Rincon,#e6e6e2,"-67.2561,18.3427",128,PR,64,0
146143297,0,San Juan,#637c8e,"-66.1216,18.4667",0,PR,128,0
147916027,0,Guaynabo,#b1a18e,"-66.1135,18.4321",64,PR,128,0
199339734,0,Gurabo,#666860,"-66.001,18.2238",128,PR,128,0
199459260,0,Vega Baja,#8e9390,"-66.3965,18.4262",192,PR,0,0
202550976,0,Rio Grande,#9e9b98,"-65.8343,18.3765",192,PR,64,0
202969723,0,Ponce,#e8ecec,"-66.603,18.0206",192,PR,128,0
203249459,0,San Sebastian,#e0ded5,"-66.9245,18.3131",0,PR,192,0
203308506,0,Hatillo,#979aa8,"-66.8166,18.484",64,PR,192,0
203682620,0,Naranjito,#c09ba2,"-66.2464,18.3025",128,PR,192,0
203682630,0,Naranjito,#874b53,"-66.2451,18.3023",192,PR,192,0
203766052,0,Aguas Buenas,#c9cdd1,"-66.0941,18.2401",256,PR,0,0
203832462,0,Fajardo,#bcbbae,"-65.6641,18.3406",256,PR,64,0
204048431,0,Fronton,#dadfd7,"-66.5661,18.3113",256,PR,128,0
204144869,0,Mayaguez,#b36e6a,"-67.1587,18.2124",256,PR,192,0
204521460,0,Loiza,#e4e7e7,"-65.8767,18.4299",0,PR,256,0
204867179,0,Quebradillas,#93a5d2,"-66.9354,18.4782",64,PR,256,0
204867186,0,Quebradillas,#bbbcbb,"-66.9385,18.4779",128,PR,256,0
221071628,0,Canovanas,#afb1b7,"-65.8888,18.3394",192,PR,256,0
221072040,0,Canovanas,#c0c3c4,"-65.8714,18.3204",256,PR,256,0
221079925,0,Mayaguez,#23303c,"-67.1488,18.2156",320,PR,0,0
236864489,0,San Juan,#898c91,"-66.0674,18.4408",320,PR,64,0
237056389,0,Ponce,#655252,"-66.6066,17.9953",320,PR,128,0
237056552,0,Ponce,#a68f71,"-66.6076,17.9942",320,PR,192,0
237159097,0,Caguas,#4f514e,"-66.0315,18.2467",320,PR,256,0
237536335,0,San Juan,#e3e7ea,"-66.0497,18.4142",0,PR,320,0
237540422,0,Carolina,#372b2c,"-65.9645,18.3873",64,PR,320,0
256387098,0,San Juan,#c39192,"-66.1136,18.4682",128,PR,320,0
256662602,0,San Juan,#738080,"-66.1109,18.4656",192,PR,320,0
256745826,0,Penuelas,#d39382,"-66.7241,18.0659",256,PR,320,0
259681330,0,San Juan,#b0b4b1,"-66.0794,18.4477",320,PR,320,0
259681722,0,San Juan,#646551,"-66.0694,18.4511",384,PR,0,0
260043613,0,San Juan,#ae9890,"-66.0695,18.4482",384,PR,64,0
261244043,0,Mayaguez,#445439,"-67.9391,18.0875",384,PR,128,0
262743994,0,Gurabo,#3c414c,"-65.9995,18.2578",384,PR,192,0
271366562,0,San Juan,#9c9a8b,"-66.1173,18.461",384,PR,256,0
275274046,0,San Juan,#353a44,"-66.0756,18.456",384,PR,320,0
286618651,0,Carolina,#767070,"-65.9555,18.3788",0,PR,384,0
286672387,0,San Juan,#747163,"-66.0748,18.3918",64,PR,384,0
287887074,0,San Juan,#9a9695,"-65.9945,18.4034",128,PR,384,0
288043183,0,San Juan,#d1d0cd,"-66.0351,18.4213",192,PR,384,0
288043841,0,San Juan,#354752,"-66.0399,18.4186",256,PR,384,0
293560926,0,San Juan,#3a559c,"-66.1011,18.4663",320,PR,384,0
293568002,0,San Juan,#6d708d,"-66.0955,18.4632",384,PR,384,0
293935628,0,San Juan,#8896bb,"-66.0976,18.4643",448,PR,0,0
294778391,0,San Juan,#826e4a,"-66.0798,18.4204",448,PR,64,0
295523798,0,San Juan,#ac9f9d,"-66.0997,18.4656",448,PR,128,0
298364949,0,Caguas,#8b8d95,"-66.0368,18.2303",448,PR,192,0
301166949,0,San Juan,#3b4030,"-66.057,18.4333",448,PR,256,0
302318243,0,San Juan,#454f34,"-66.059,18.4221",448,PR,320,0
302349864,0,San Juan,#9a9688,"-66.0583,18.4099",448,PR,384,0
304233015,0,San Juan,#414944,"-66.0625,18.4352",0,PR,448,0
304926338,0,San Juan,#737e79,"-66.0654,18.4543",64,PR,448,0
305074073,0,Toa Alta,#bfc5cf,"-66.2707,18.346",128,PR,448,0
305362797,0,San Juan,#79747a,"-66.0784,18.4501",192,PR,448,0
305362799,0,San Juan,#94807e,"-66.0773,18.4504",256,PR,448,0
308813916,0,Guaynabo,#748658,"-66.1309,18.3629",320,PR,448,0
308908798,0,Guaynabo,#a7a9b0,"-66.1121,18.3513",384,PR,448,0
309768435,0,San Juan,#8e8b85,"-66.0648,18.4415",448,PR,448,0
312666502,0,Manati,#7a786a,"-66.4663,18.4352",512,PR,0,0
314659400,0,Trujillo Alto,#75a5bf,"-66.0111,18.3358",512,PR,64,0
314666383,0,San Juan,#61614b,"-66.081,18.4486",512,PR,128,0
315563752,0,Mayaguez,#4f747e,"-67.148,18.1965",512,PR,192,0
319053910,0,Salinas,#3d4a57,"-66.2311,18.0309",512,PR,256,0
319652143,0,Rincon,#9b9c99,"-67.268,18.3591",512,PR,320,0
320323093,0,San Juan,#7f7f84,"-66.0659,18.442",512,PR,384,0
322982865,0,Arecibo,#92726d,"-66.7264,18.468",512,PR,448,0
327350526,0,San Juan,#3d3f34,"-66.0664,18.387",0,PR,512,0
328050652,0,San Juan,#1e3040,"-66.0954,18.3804",64,PR,512,0
333991872,0,San Juan,#968d7f,"-66.0614,18.4513",128,PR,512,0
335284784,0,San Juan,#45473d,"-66.0615,18.4178",192,PR,512,0
